ticker,forecast_vol,omega,alpha,beta,persistence,aic,bic,n_obs
IPCALAB.NS,0.2990553843624911,0.7364671458005482,0.1719970809788179,0.6366910108526515,0.8086880918314694,7012.595895011803,7034.407824329664,1725
SJVN.NS,0.3347931374128475,0.16829302764007106,0.08551457849578692,0.884807041472302,0.970321619968089,7404.644056701591,7426.455986019452,1725
ASTRAL.NS,0.2822348089254895,0.5304633172294868,0.13037429184630614,0.766518737274296,0.8968930291206021,7483.009689460887,7504.821618778748,1725
ELGIEQUIP.NS,0.36382267074645713,0.20276479113330936,0.07136311131178241,0.9052443985269958,0.9766075098387782,8167.316905848114,8189.128835165976,1725
CASTROLIND.NS,0.31573005155105893,0.08338574031731069,0.08550994689451835,0.898355596951355,0.9838655438458734,7057.881478860344,7079.693408178206,1725
SIEMENS.NS,0.31662545621379773,1.5509867585614316,0.29972925004273565,0.30212361204033233,0.601852862083068,6972.348085364887,6994.160014682749,1725
MMTC.NS,0.3995781136392272,1.4972181930451112,0.19605194770412623,0.6984098174974873,0.8944617652016136,8952.239437785884,8974.051367103746,1725
ICICIGI.NS,0.24968873657393248,0.19020426130261886,0.0921792966178154,0.85063636637744,0.9428156629952554,6817.807115739142,6839.619045057004,1725
ADANIENT.NS,0.6273611923767634,2.2168179592748087,0.1844447610139185,0.6254728897189757,0.8099176507328942,8801.177074834559,8822.989004152421,1725
INDIANB.NS,0.3956772629843178,0.7014340918058468,0.07108769412642563,0.8484098431893742,0.9194975373157999,8515.018104302637,8536.8300336205,1725
CHOLAFIN.NS,0.31801590408473707,0.23044938444005258,0.0892624921194734,0.8779994271828943,0.9672619193023677,7916.512408412386,7938.324337730248,1725
SBILIFE.NS,0.21323717513615267,0.3058805514371495,0.11089390949208683,0.7841057443089717,0.8949996538010585,6594.469965133338,6616.281894451199,1725
JUBLFOOD.NS,0.29612032611410183,0.7111628313643616,0.12289873881032362,0.729780605043912,0.8526793438542356,7477.51209158811,7499.324020905971,1725
AMBER.NS,0.6411320979630692,1.7728768991412425,0.2319112270238125,0.5368429272885186,0.7687541543123311,7992.3075346709375,8014.072816229808,1705
LTF.NS,0.3174018697063278,0.2133651210620658,0.057976361970798876,0.909958243411255,0.9679346053820539,8033.63015532001,8055.442084637872,1725
EIHOTEL.NS,0.3751751515730282,0.8911776587508244,0.06503231576720818,0.7994105620198565,0.8644428777870646,8111.5861616935435,8133.398091011405,1725
NAM-INDIA.NS,0.31751483875308123,0.47736030461542184,0.20620245619685995,0.7413086205632549,0.9475110767601148,7750.399225939636,7772.211155257498,1725
RBLBANK.NS,0.48740711696452593,0.10708491762534372,0.05820401624604707,0.9358767769335508,0.9940807931795979,8602.162404972916,8623.974334290779,1725
OLECTRA.NS,0.41437411604904234,3.1719698156380365,0.2473258685343796,0.4704052610475283,0.7177311295819079,8852.623880191073,8874.435809508936,1725
LT.NS,0.22595988867006378,0.32069374200954215,0.09411380893168803,0.7918652787371441,0.885979087668832,6567.080457547479,6588.892386865341,1725
